Date,LAT,LON,Intensity
8/16/2017 6:00,13.7,-45.8,25
8/16/2017 9:00,13.7,-46.6,25
8/16/2017 12:00,13.7,-47.4,25
8/16/2017 15:00,13.6,-48.2,25
8/16/2017 18:00,13.6,-49,25
8/16/2017 21:00,13.6,-49.8,25
8/17/2017 0:00,13.6,-50.6,25
8/17/2017 3:00,13.5,-51.3,25
8/17/2017 6:00,13.4,-52,25
8/17/2017 9:00,13.2,-52.7,28
8/17/2017 12:00,13.1,-53.4,30
8/17/2017 15:00,13,-54.2,33
8/17/2017 18:00,13,-55,35
8/17/2017 21:00,13,-55.8,38
8/18/2017 0:00,13,-56.6,40
8/18/2017 3:00,13,-57.5,40
8/18/2017 6:00,13,-58.4,40
8/18/2017 9:00,13.1,-59.3,40
8/18/2017 10:00,13.1,-59.6,40
8/18/2017 12:00,13.1,-60.3,40
8/18/2017 15:00,13.2,-61.2,40
8/18/2017 18:00,13.2,-62.2,35
8/18/2017 21:00,13.3,-63.1,35
8/19/2017 0:00,13.4,-64,35
8/19/2017 3:00,13.4,-64.9,35
8/19/2017 6:00,13.5,-65.7,35
8/19/2017 9:00,13.6,-66.6,33
8/19/2017 12:00,13.7,-67.5,30
8/19/2017 15:00,13.7,-68.4,30
8/19/2017 18:00,13.8,-69.2,30
8/19/2017 21:00,13.9,-70.1,30
8/20/2017 0:00,14,-71,30
8/20/2017 3:00,14.1,-71.9,30
8/20/2017 6:00,14.2,-72.9,30
8/20/2017 9:00,14.3,-74,30
8/20/2017 12:00,14.4,-75,30
8/20/2017 15:00,14.5,-75.9,30
8/20/2017 18:00,14.7,-76.8,30
8/20/2017 21:00,14.9,-77.7,28
8/21/2017 0:00,15.1,-78.6,25
8/21/2017 3:00,15.4,-79.5,25
8/21/2017 6:00,15.7,-80.5,25
8/21/2017 9:00,16,-81.5,25
8/21/2017 12:00,16.4,-82.5,25
8/21/2017 15:00,16.8,-83.6,25
8/21/2017 18:00,17.3,-84.6,25
8/21/2017 21:00,17.7,-85.6,25
8/22/2017 0:00,18,-86.4,25
8/22/2017 3:00,18.3,-87.2,25
8/22/2017 6:00,18.6,-87.8,25
8/22/2017 9:00,19,-88.3,25
8/22/2017 12:00,19.4,-88.8,25
8/22/2017 15:00,19.7,-89.3,25
8/22/2017 18:00,20,-89.7,25
8/22/2017 21:00,20.3,-90.2,25
8/23/2017 0:00,20.5,-90.7,25
8/23/2017 3:00,20.7,-91.2,25
8/23/2017 6:00,20.9,-91.6,25
8/23/2017 9:00,21.2,-92,28
8/23/2017 12:00,21.4,-92.3,30
8/23/2017 15:00,21.5,-92.4,33
8/23/2017 18:00,21.6,-92.4,35
8/23/2017 21:00,21.8,-92.5,38
8/24/2017 0:00,22,-92.5,40
8/24/2017 3:00,22.4,-92.5,45
8/24/2017 6:00,22.8,-92.6,50
8/24/2017 9:00,23.3,-92.8,55
8/24/2017 12:00,23.7,-93.1,60
8/24/2017 15:00,24.1,-93.3,65
8/24/2017 18:00,24.4,-93.6,70
8/24/2017 21:00,24.7,-94,75
8/25/2017 0:00,25,-94.4,80
8/25/2017 3:00,25.3,-94.8,85
8/25/2017 6:00,25.6,-95.1,90
8/25/2017 9:00,25.9,-95.5,93
8/25/2017 12:00,26.3,-95.8,95
8/25/2017 15:00,26.7,-96.1,100
8/25/2017 18:00,27.1,-96.3,105
8/25/2017 21:00,27.5,-96.6,110
8/26/2017 0:00,27.8,-96.8,115
8/26/2017 3:00,28,-96.9,115
8/26/2017 6:00,28.2,-97.1,105
8/26/2017 9:00,28.5,-97.2,85
8/26/2017 12:00,28.7,-97.3,65
8/26/2017 15:00,28.9,-97.4,58
8/26/2017 18:00,29,-97.5,50
8/26/2017 21:00,29.1,-97.5,48
8/27/2017 0:00,29.2,-97.4,45
8/27/2017 3:00,29.3,-97.5,43
8/27/2017 6:00,29.3,-97.6,40
