Date,LAT,LON,Intensity
8/26/2021 12:00,16.5,-78.9,30
8/26/2021 15:00,17,-79.2,33
8/26/2021 18:00,17.4,-79.5,35
8/26/2021 21:00,17.8,-79.8,38
8/27/2021 0:00,18.3,-80.2,40
8/27/2021 3:00,18.8,-80.5,43
8/27/2021 6:00,19.4,-80.9,45
8/27/2021 9:00,19.9,-81.3,50
8/27/2021 12:00,20.4,-81.7,55
8/27/2021 15:00,21,-82.2,63
8/27/2021 18:00,21.5,-82.6,70
8/27/2021 21:00,21.9,-82.6,70
8/27/2021 23:25,22.4,-83.2,70
8/28/2021 0:00,22.6,-83.5,70
8/28/2021 3:00,23.2,-84.4,70
8/28/2021 6:00,23.5,-84.7,70
8/28/2021 9:00,23.9,-85.2,70
8/28/2021 12:00,24.4,-85.7,70
8/28/2021 15:00,25,-86.2,75
8/28/2021 18:00,25.6,-86.6,80
8/28/2021 21:00,26.2,-87.1,85
8/29/2021 0:00,26.7,-87.6,90
8/29/2021 3:00,27.2,-88.2,103
8/29/2021 6:00,27.6,-88.7,115
8/29/2021 9:00,28.1,-89.2,123
8/29/2021 12:00,28.5,-89.6,130
8/29/2021 15:00,28.9,-89.9,130
8/29/2021 16:55,29.1,-90.2,130
8/29/2021 18:00,29.2,-90.4,125
8/29/2021 21:00,29.5,-90.6,115
8/30/2021 0:00,29.9,-90.6,105
8/30/2021 3:00,30.2,-90.7,85
8/30/2021 6:00,30.6,-90.8,65
8/30/2021 9:00,31,-90.9,53
8/30/2021 12:00,31.5,-90.9,40
8/30/2021 15:00,31.9,-90.7,38
8/30/2021 18:00,32.2,-90.5,35
8/30/2021 21:00,32.6,-90.3,33
8/31/2021 0:00,33,-90,30
8/31/2021 3:00,33.4,-89.7,28
8/31/2021 6:00,33.8,-89.4,25
8/31/2021 9:00,34.1,-89,25
8/31/2021 12:00,34.4,-88.4,25
8/31/2021 15:00,34.7,-87.8,23
8/31/2021 18:00,35.1,-87.1,20
8/31/2021 21:00,35.4,-86.3,20
9/1/2021 0:00,35.8,-85.5,20
9/1/2021 3:00,36.2,-84.6,20
9/1/2021 6:00,36.7,-83.6,20
9/1/2021 9:00,37.2,-82.6,23
9/1/2021 12:00,37.7,-81.5,25
9/1/2021 15:00,38.4,-80.1,28
9/1/2021 18:00,39,-78.5,30
9/1/2021 21:00,39.4,-77,33
9/2/2021 0:00,39.8,-75.6,35
9/2/2021 3:00,40.2,-74.2,38
9/2/2021 6:00,40.6,-72.8,40
9/2/2021 9:00,40.9,-71.2,40
9/2/2021 12:00,41.4,-69.7,40
9/2/2021 15:00,42.2,-68.4,40
9/2/2021 18:00,43.3,-67.2,40
9/2/2021 21:00,44.4,-65.9,40
9/3/2021 0:00,45.4,-64.7,40
9/3/2021 3:00,46.1,-64,43
9/3/2021 6:00,46.6,-63.6,45
9/3/2021 9:00,47.1,-63.1,45
9/3/2021 12:00,47.5,-62.7,45
9/3/2021 15:00,48.1,-62.4,45
9/3/2021 18:00,48.6,-62.4,45
9/3/2021 21:00,48.8,-62.7,45
9/4/2021 0:00,48.8,-63.1,45
9/4/2021 3:00,48.8,-63.6,43
9/4/2021 6:00,48.7,-63.9,40
9/4/2021 9:00,48.2,-64,38
9/4/2021 12:00,47.6,-63.9,35
9/4/2021 15:00,47.1,-63.7,33
9/4/2021 18:00,46.6,-63.5,30
