Date,LAT,LON,Intensity
8/30/2017 0:00,16.1,-26.9,30
8/30/2017 3:00,16.1,-27.6,33
8/30/2017 6:00,16.2,-28.3,35
8/30/2017 9:00,16.3,-29,40
8/30/2017 12:00,16.3,-29.7,45
8/30/2017 15:00,16.3,-30.3,48
8/30/2017 18:00,16.3,-30.8,50
8/30/2017 21:00,16.3,-31.3,53
8/31/2017 0:00,16.3,-31.7,55
8/31/2017 3:00,16.3,-32.1,60
8/31/2017 6:00,16.4,-32.5,65
8/31/2017 9:00,16.5,-32.9,73
8/31/2017 12:00,16.7,-33.4,80
8/31/2017 15:00,16.9,-33.8,88
8/31/2017 18:00,17.1,-34.2,95
8/31/2017 21:00,17.3,-34.6,98
9/1/2017 0:00,17.5,-35.1,100
9/1/2017 3:00,17.7,-35.6,100
9/1/2017 6:00,17.9,-36.1,100
9/1/2017 9:00,18.1,-36.7,100
9/1/2017 12:00,18.4,-37.3,100
9/1/2017 15:00,18.6,-37.9,100
9/1/2017 18:00,18.8,-38.5,100
9/1/2017 21:00,19,-39.1,100
9/2/2017 0:00,19.1,-39.7,100
9/2/2017 3:00,19.1,-40.4,100
9/2/2017 6:00,19.1,-41.1,100
9/2/2017 9:00,19,-41.8,98
9/2/2017 12:00,18.9,-42.6,95
9/2/2017 15:00,18.8,-43.4,95
9/2/2017 18:00,18.7,-44.1,95
9/2/2017 21:00,18.6,-44.8,95
9/3/2017 0:00,18.5,-45.5,95
9/3/2017 3:00,18.4,-46.1,95
9/3/2017 6:00,18.2,-46.7,95
9/3/2017 9:00,18,-47.3,98
9/3/2017 12:00,17.9,-47.9,100
9/3/2017 15:00,17.7,-48.5,100
9/3/2017 18:00,17.6,-49.2,100
9/3/2017 21:00,17.4,-49.8,100
9/4/2017 0:00,17.3,-50.4,100
9/4/2017 3:00,17.1,-51,103
9/4/2017 6:00,17,-51.5,105
9/4/2017 9:00,16.9,-52,108
9/4/2017 12:00,16.8,-52.6,110
9/4/2017 15:00,16.7,-53.2,113
9/4/2017 18:00,16.7,-53.9,115
9/4/2017 21:00,16.6,-54.5,120
9/5/2017 0:00,16.6,-55.1,125
9/5/2017 3:00,16.6,-55.7,130
9/5/2017 6:00,16.6,-56.4,135
9/5/2017 9:00,16.6,-57.1,143
9/5/2017 12:00,16.7,-57.8,150
9/5/2017 15:00,16.8,-58.5,153
9/5/2017 18:00,16.9,-59.2,155
9/5/2017 21:00,17.1,-59.9,155
9/6/2017 0:00,17.3,-60.6,155
9/6/2017 3:00,17.6,-61.1,155
9/6/2017 5:45,17.7,-61.8,155
9/6/2017 6:00,17.7,-61.9,155
9/6/2017 9:00,17.9,-62.7,155
9/6/2017 11:15,18.1,-63.1,155
9/6/2017 12:00,18.1,-63.3,155
9/6/2017 15:00,18.3,-64.1,155
9/6/2017 16:30,18.5,-64.4,155
9/6/2017 18:00,18.6,-64.7,150
9/6/2017 21:00,18.9,-65.4,150
9/7/2017 0:00,19.2,-66.2,150
9/7/2017 3:00,19.5,-66.9,148
9/7/2017 6:00,19.7,-67.6,145
9/7/2017 9:00,19.9,-68.3,145
9/7/2017 12:00,20.2,-69,145
9/7/2017 15:00,20.5,-69.7,145
9/7/2017 18:00,20.7,-70.4,145
9/7/2017 21:00,20.9,-71.1,143
9/8/2017 0:00,21.1,-71.8,140
9/8/2017 3:00,21.4,-72.5,137
9/8/2017 5:00,21.5,-73,135
9/8/2017 6:00,21.5,-73.2,135
9/8/2017 9:00,21.6,-73.9,135
9/8/2017 12:00,21.8,-74.7,135
9/8/2017 15:00,21.9,-75.4,138
9/8/2017 18:00,22,-76,140
9/8/2017 21:00,22,-76.6,143
9/9/2017 0:00,22.1,-77.2,145
9/9/2017 3:00,22.3,-77.9,145
9/9/2017 6:00,22.4,-78.3,130
9/9/2017 9:00,22.5,-78.8,120
9/9/2017 12:00,22.7,-79.3,110
9/9/2017 15:00,22.9,-79.8,103
9/9/2017 18:00,23.1,-80.2,95
9/9/2017 21:00,23.3,-80.6,98
9/10/2017 0:00,23.4,-80.9,100
9/10/2017 3:00,23.5,-81.1,108
9/10/2017 6:00,23.7,-81.3,115
9/10/2017 9:00,24,-81.4,115
9/10/2017 12:00,24.5,-81.5,115
9/10/2017 13:00,24.7,-81.5,115
9/10/2017 15:00,25.1,-81.6,109
9/10/2017 18:00,25.6,-81.7,100
9/10/2017 19:30,25.9,-81.7,100
9/10/2017 21:00,26.2,-81.7,93
9/11/2017 0:00,26.8,-81.7,80
9/11/2017 3:00,27.5,-81.9,73
9/11/2017 6:00,28.2,-82.2,65
9/11/2017 9:00,28.9,-82.4,58
9/11/2017 12:00,29.6,-82.7,50
9/11/2017 15:00,30.3,-83.1,48
9/11/2017 18:00,30.9,-83.5,45
9/11/2017 21:00,31.4,-83.9,40
9/12/2017 0:00,31.9,-84.4,35
9/12/2017 3:00,32.4,-85,30
9/12/2017 6:00,32.9,-85.6,25
9/12/2017 9:00,33.3,-86.3,23
9/12/2017 12:00,33.8,-86.9,20
9/12/2017 15:00,34.3,-87.5,18
9/12/2017 18:00,34.8,-88.1,15
9/12/2017 21:00,35.2,-88.5,15
9/13/2017 0:00,35.6,-88.9,15
9/13/2017 3:00,35.9,-89.2,15
9/13/2017 6:00,36.2,-89.5,15
9/13/2017 9:00,36.5,-89.8,15
9/13/2017 12:00,36.8,-90.1,15
