Date,LAT,LON,Intensity
8/23/2005 18:00,23.1,-75.1,30
8/23/2005 21:00,23.2,-75.4,30
8/24/2005 0:00,23.4,-75.7,30
8/24/2005 3:00,23.6,-76,30
8/24/2005 6:00,23.8,-76.2,30
8/24/2005 9:00,24.1,-76.4,33
8/24/2005 12:00,24.5,-76.5,35
8/24/2005 15:00,25,-76.7,38
8/24/2005 18:00,25.4,-76.9,40
8/24/2005 21:00,25.8,-77.3,43
8/25/2005 0:00,26,-77.7,45
8/25/2005 3:00,26.1,-78.1,48
8/25/2005 6:00,26.1,-78.4,50
8/25/2005 9:00,26.2,-78.7,53
8/25/2005 12:00,26.2,-79,55
8/25/2005 15:00,26.2,-79.3,58
8/25/2005 18:00,26.2,-79.6,60
8/25/2005 21:00,26.1,-79.9,67
8/25/2005 22:30,26,-80.1,70
8/26/2005 0:00,25.9,-80.3,70
8/26/2005 3:00,25.7,-80.8,68
8/26/2005 6:00,25.4,-81.3,65
8/26/2005 9:00,25.2,-81.7,70
8/26/2005 12:00,25.1,-82,75
8/26/2005 15:00,25,-82.3,80
8/26/2005 18:00,24.9,-82.6,85
8/26/2005 21:00,24.7,-82.9,88
8/27/2005 0:00,24.6,-83.3,90
8/27/2005 3:00,24.5,-83.7,93
8/27/2005 6:00,24.4,-84,95
8/27/2005 9:00,24.4,-84.4,98
8/27/2005 12:00,24.4,-84.7,100
8/27/2005 15:00,24.4,-85,100
8/27/2005 18:00,24.5,-85.3,100
8/27/2005 21:00,24.6,-85.6,100
8/28/2005 0:00,24.8,-85.9,100
8/28/2005 3:00,25,-86.3,113
8/28/2005 6:00,25.2,-86.7,125
8/28/2005 9:00,25.4,-87.2,135
8/28/2005 12:00,25.7,-87.7,145
8/28/2005 15:00,26,-88.2,148
8/28/2005 18:00,26.3,-88.6,150
8/28/2005 21:00,26.7,-88.9,145
8/29/2005 0:00,27.2,-89.2,140
8/29/2005 3:00,27.7,-89.4,133
8/29/2005 6:00,28.2,-89.6,125
8/29/2005 9:00,28.8,-89.6,116
8/29/2005 11:10,29.3,-89.6,110
8/29/2005 12:00,29.5,-89.6,110
8/29/2005 14:45,30.2,-89.6,105
8/29/2005 15:00,30.3,-89.6,103
8/29/2005 18:00,31.1,-89.6,80
8/29/2005 21:00,31.9,-89.4,65
8/30/2005 0:00,32.6,-89.1,50
8/30/2005 3:00,33.3,-88.9,45
8/30/2005 6:00,34.1,-88.6,40
8/30/2005 9:00,34.9,-88.3,35
8/30/2005 12:00,35.6,-88,30
8/30/2005 15:00,36.3,-87.6,30
8/30/2005 18:00,37,-87,30
8/30/2005 21:00,37.8,-86.3,30
8/31/2005 0:00,38.6,-85.3,30
8/31/2005 3:00,39.4,-84.2,28
8/31/2005 6:00,40.1,-82.9,25
