Date,LAT,LON,Intensity
9/18/2005 0:00,21.3,-69.9,25
9/18/2005 3:00,21.5,-70.3,25
9/18/2005 6:00,21.6,-70.7,25
9/18/2005 9:00,21.7,-71.1,28
9/18/2005 12:00,21.9,-71.5,30
9/18/2005 15:00,22.1,-71.9,33
9/18/2005 18:00,22.2,-72.3,35
9/18/2005 21:00,22.3,-72.7,40
9/19/2005 0:00,22.4,-73,45
9/19/2005 3:00,22.5,-73.4,48
9/19/2005 6:00,22.6,-73.8,50
9/19/2005 9:00,22.7,-74.2,53
9/19/2005 12:00,22.8,-74.7,55
9/19/2005 15:00,22.9,-75.3,58
9/19/2005 18:00,23.1,-75.9,60
9/19/2005 21:00,23.2,-76.5,60
9/20/2005 0:00,23.3,-77.2,60
9/20/2005 3:00,23.4,-78,60
9/20/2005 6:00,23.5,-78.8,60
9/20/2005 9:00,23.6,-79.6,65
9/20/2005 12:00,23.7,-80.3,70
9/20/2005 15:00,23.8,-81,78
9/20/2005 18:00,23.9,-81.6,85
9/20/2005 21:00,24,-82.2,90
9/21/2005 0:00,24.1,-82.7,95
9/21/2005 3:00,24.2,-83.3,103
9/21/2005 6:00,24.2,-84,110
9/21/2005 9:00,24.2,-84.6,115
9/21/2005 12:00,24.2,-85.2,120
9/21/2005 15:00,24.2,-85.7,133
9/21/2005 18:00,24.3,-86.2,145
9/21/2005 21:00,24.4,-86.6,148
9/22/2005 0:00,24.5,-86.9,150
9/22/2005 3:00,24.7,-87.3,155
9/22/2005 6:00,24.8,-87.6,155
9/22/2005 9:00,25,-87.9,148
9/22/2005 12:00,25.2,-88.3,140
9/22/2005 15:00,25.4,-88.7,133
9/22/2005 18:00,25.6,-89.1,125
9/22/2005 21:00,25.8,-89.5,123
9/23/2005 0:00,26,-89.9,120
9/23/2005 3:00,26.2,-90.3,118
9/23/2005 6:00,26.5,-90.7,115
9/23/2005 9:00,26.8,-91.1,115
9/23/2005 12:00,27.1,-91.5,115
9/23/2005 15:00,27.4,-91.9,113
9/23/2005 18:00,27.8,-92.3,110
9/23/2005 21:00,28.2,-92.7,108
9/24/2005 0:00,28.6,-93,105
9/24/2005 3:00,29,-93.3,103
9/24/2005 6:00,29.4,-93.6,100
9/24/2005 7:40,29.7,-93.7,100
9/24/2005 9:00,29.9,-93.8,89
9/24/2005 12:00,30.5,-94.1,65
9/24/2005 15:00,31.1,-94.2,55
9/24/2005 18:00,31.6,-94.1,45
9/24/2005 21:00,32.2,-94.1,40
9/25/2005 0:00,32.7,-94,35
9/25/2005 3:00,33.2,-93.9,33
9/25/2005 6:00,33.7,-93.6,30
9/25/2005 9:00,34.2,-93.1,28
9/25/2005 12:00,34.7,-92.5,25
9/25/2005 15:00,35.2,-92,25
9/25/2005 18:00,35.8,-91.4,25
9/25/2005 21:00,36.3,-90.8,23
9/26/2005 0:00,37,-90.1,20
9/26/2005 3:00,38.1,-89.1,20
9/26/2005 6:00,39.5,-88,20
