Hurricane_Category,Period,sea_water_temperature
Category 1 hurricane,After,28.638871826371826
Category 1 hurricane,Before,29.427262208067944
Category 1 hurricane,During,29.10411883182276
Category 2 hurricane,After,28.611223718791067
Category 2 hurricane,Before,29.29041838225528
Category 2 hurricane,During,28.420486111111114
Category 3 hurricane,After,27.097328848641656
Category 3 hurricane,Before,28.636095264727814
Category 3 hurricane,During,27.20923220973783
Category 4 hurricane,After,29.113055555555555
Category 4 hurricane,Before,29.950254511800093
Category 4 hurricane,During,26.021103896103895
