Name,Category,Day,Year
Unnamed,Category 1 hurricane,June 28,1929
Unnamed,Category 4 hurricane,August 14,1932
Unnamed,Category 2 hurricane,August 7,1933
Unnamed,Category 3 hurricane,September 5,1933
Unnamed,Category 2 hurricane,July 25,1934
Unnamed,Category 1 hurricane,June 27,1936
Unnamed,Category 2 hurricane,August 8,1940
Unnamed,Category 3 hurricane,September 23,1941
Unnamed,Category 1 hurricane,August 21,1942
Unnamed,Category 3 hurricane,August 30,1942
Unnamed,Category 2 hurricane,July 27,1943
Unnamed,Category 2 hurricane,August 27,1945
Unnamed,Category 1 hurricane,August 24,1947
Unnamed,Category 2 hurricane,October 4,1949
Audrey,Category 2 hurricane,June 27,1957
Debra,Category 1 hurricane,July 25,1959
Carla,Category 4 hurricane,September 11,1961
Beulah,Category 3 hurricane,September 20,1967
Celia,Category 4 hurricane,August 3,1970
Fern,Category 1 hurricane,September 10,1971
Allen,Category 3 hurricane,August 10,1980
Alicia,Category 3 hurricane,August 18,1983
Bonnie,Category 1 hurricane,June 28,1986
Chantal,Category 1 hurricane,August 1,1989
Jerry,Category 1 hurricane,October 16,1989
Bret,Category 3 hurricane,August 23,1999
Claudette,Category 1 hurricane,July 15,2003
Rita,Category 2 hurricane,September 24,2005
Humberto,Category 1 hurricane,September 13,2007
Dolly,Category 1 hurricane,July 23,2008
Ike,Category 2 hurricane,September 13,2008
Harvey,Category 4 hurricane,August 26,2017
Unnamed,Category 3 hurricane,August 21,1926
Unnamed,Category 1 hurricane,September 1,1932
Baker,Category 1 hurricane,August 31,1950
Camille,Category 1 hurricane,August 18,1969
Eloise,"Category 1 hurricane
[notes 1]",September 23,1975
Frederic,Category 4 hurricane,September 13,1979
Elena,Category 3 hurricane,September 2,1985
Opal,"Category 1 hurricane
[notes 1]",October 4,1995
Danny,Category 1 hurricane,July 19,1997
Ivan,Category 3 hurricane,September 16,2004
Dennis,"Category 1 hurricane
[notes 1]",July 10,2005
Katrina,Category 1 hurricane,August 29,2005
