objectid,monitoring_location_identifier,organization_formal,monitoring_location,latitude,longitude,Date,start_time,start_timezone,depth,depth_height_unit,characteristic,sample_fraction,sea_water_temperature,uom,note,x,y
311,21AWIC-1091,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,MB-1A,30.2731,-88.1732,2008-07-23,17:00:00,UTC,,m,Temperature,,30.7,deg C,,-9815396.294,3538703.5417
312,21AWIC-1091,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,MB-1A,30.2731,-88.1732,2008-07-23,17:00:00,UTC,,m,Temperature,,30.67,deg C,,-9815396.294,3538703.5417
313,21AWIC-1091,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,MB-1A,30.2731,-88.1732,2008-07-23,17:00:00,UTC,,m,Temperature,,30.65,deg C,,-9815396.294,3538703.5417
314,21AWIC-1091,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,MB-1A,30.2731,-88.1732,2008-07-23,17:00:00,UTC,,m,Temperature,,30.36,deg C,,-9815396.294,3538703.5417
315,21AWIC-1091,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,MB-1A,30.2731,-88.1732,2008-07-23,17:00:00,UTC,,m,Temperature,,30.25,deg C,,-9815396.294,3538703.5417
316,21AWIC-1091,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,MB-1A,30.2731,-88.1732,2008-07-23,17:00:00,UTC,,m,Temperature,,30.24,deg C,,-9815396.294,3538703.5417
317,21AWIC-1091,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,MB-1A,30.2731,-88.1732,2008-07-23,17:00:00,UTC,,m,Temperature,,30.23,deg C,,-9815396.294,3538703.5417
692,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,27.2,deg C,,-9799744.771,3584752.1692
693,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,27.1,deg C,,-9799744.771,3584752.1692
694,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,27.3,deg C,,-9799744.771,3584752.1692
695,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,27.4,deg C,,-9799744.771,3584752.1692
696,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,27.5,deg C,,-9799744.771,3584752.1692
697,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,27.6,deg C,,-9799744.771,3584752.1692
698,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,27.9,deg C,,-9799744.771,3584752.1692
699,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,27.8,deg C,,-9799744.771,3584752.1692
700,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,28.1,deg C,,-9799744.771,3584752.1692
701,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,28.3,deg C,,-9799744.771,3584752.1692
702,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,28.2,deg C,,-9799744.771,3584752.1692
703,21AWIC-984,ALABAMA DEPT. OF ENVIRONMENTAL MANAGEMENT - WATER QUALITY DATA,CHANNEL-1A,30.6297,-88.0326,2004-08-13,06:00:00,UTC,,m,Temperature,,28.4,deg C,,-9799744.771,3584752.1692
