Date,LAT,LON,Intensity
8/20/2020 0:00,14.4,-47.3,30
8/20/2020 3:00,14.9,-48.5,30
8/20/2020 6:00,15.4,-49.6,30
8/20/2020 9:00,15.8,-50.6,30
8/20/2020 12:00,16.1,-51.6,30
8/20/2020 15:00,16.4,-52.5,30
8/20/2020 18:00,16.6,-53.4,30
8/20/2020 21:00,16.7,-54.4,30
8/21/2020 0:00,16.8,-55.5,30
8/21/2020 3:00,16.9,-56.5,30
8/21/2020 6:00,16.9,-57.5,30
8/21/2020 9:00,16.9,-58.5,35
8/21/2020 12:00,17,-59.4,40
8/21/2020 15:00,17.1,-60.3,40
8/21/2020 18:00,17.1,-61.1,40
8/21/2020 20:30,17.1,-61.8,40
8/21/2020 21:00,17.1,-61.9,40
8/21/2020 23:30,17.1,-62.6,40
8/22/2020 0:00,17.1,-62.8,40
8/22/2020 3:00,17.2,-63.7,40
8/22/2020 6:00,17.4,-64.4,40
8/22/2020 9:00,17.6,-65.2,43
8/22/2020 12:00,17.7,-65.9,45
8/22/2020 15:00,17.8,-66.7,45
8/22/2020 18:00,17.9,-67.4,45
8/22/2020 21:00,18,-68.1,45
8/23/2020 0:00,18.2,-68.8,45
8/23/2020 3:00,18.3,-69.6,45
8/23/2020 4:30,18.4,-70,45
8/23/2020 6:00,18.5,-70.3,45
8/23/2020 9:00,18.6,-71.2,45
8/23/2020 12:00,18.8,-72.3,45
8/23/2020 15:00,19.1,-73.3,50
8/23/2020 18:00,19.4,-74.3,55
8/23/2020 21:00,19.6,-75.2,55
8/24/2020 0:00,19.8,-76,55
8/24/2020 2:00,20,-76.6,55
8/24/2020 3:00,20.1,-76.9,54
8/24/2020 6:00,20.2,-77.8,50
8/24/2020 9:00,20.5,-78.7,50
8/24/2020 12:00,20.8,-79.7,50
8/24/2020 15:00,21.1,-80.6,50
8/24/2020 18:00,21.5,-81.5,50
8/24/2020 21:00,21.9,-82.4,53
8/25/2020 0:00,22.3,-83.3,55
8/25/2020 3:00,22.6,-84.1,58
8/25/2020 6:00,22.8,-84.8,60
8/25/2020 9:00,23.1,-85.5,63
8/25/2020 12:00,23.4,-86.2,65
8/25/2020 15:00,23.7,-86.9,68
8/25/2020 18:00,24.1,-87.5,70
8/25/2020 21:00,24.5,-88.2,73
8/26/2020 0:00,24.9,-88.9,75
8/26/2020 3:00,25.2,-89.6,83
8/26/2020 6:00,25.6,-90.2,90
8/26/2020 9:00,26,-90.8,95
8/26/2020 12:00,26.4,-91.4,100
8/26/2020 15:00,26.8,-92,110
8/26/2020 18:00,27.3,-92.5,120
8/26/2020 21:00,27.9,-92.8,125
8/27/2020 0:00,28.5,-93,130
8/27/2020 3:00,29.1,-93.2,130
8/27/2020 6:00,29.8,-93.3,130
8/27/2020 9:00,30.5,-93.4,108
8/27/2020 12:00,31.2,-93.3,85
8/27/2020 15:00,32,-93.1,70
8/27/2020 18:00,32.8,-92.9,55
8/27/2020 21:00,33.6,-92.7,45
8/28/2020 0:00,34.4,-92.5,35
8/28/2020 3:00,35,-92.3,30
8/28/2020 6:00,35.4,-92,25
8/28/2020 9:00,35.8,-91.7,25
8/28/2020 12:00,36.1,-91.2,25
8/28/2020 15:00,36.6,-90.7,25
8/28/2020 18:00,37,-90,25
8/28/2020 21:00,37.3,-89.1,25
8/29/2020 0:00,37.5,-88,25
8/29/2020 3:00,37.9,-86.5,23
8/29/2020 6:00,38.3,-84.8,20
